,Title,Runtime,Stars,Year,Budget,Promo,Season,Rating,Genre,R1,R2,R3,Success
0,"""Love in the Inbox""",126,1,2020,66793869.44210974,73.54375428196285,Winter,PG,Romantic Comedy,"""An unconvincing portrayal of suspense that fails to create tension or intrigue.""","""An uninspired plotline that lacks coherence and direction.""","""A visually captivating masterpiece that mesmerizes with its visuals.""",False
1,"""Coffee Shop Serendipity""",131,0,2020,46.67863310909081,33.572002772449814,Fall,PG,Romantic Comedy,"""A movie that feels disjointed and fails to connect its storylines.""","""An attempt at humor that lacks cleverness and falls flat.""","""A timeless classic that continues to enchant and captivate.""",False
2,"""The Wedding Date Dilemma""",132,4,2000,36.39133816822785,54.561523288583075,Summer,PG,Romantic Comedy,"""An underwhelming cinematic effort with unconvincing performances.""","""An emotionally resonant movie that connects universally.""","""A cinematic triumph that surpasses boundaries with its brilliance.""",False
3,"""Heartstrings and Highways""",132,1,2015,93.2473165611265,59.714534741984544,Winter,PG13,Romantic Comedy,"""A film that fails to resonate due to its lack of depth and substance.""","""A beautifully crafted narrative that unfolds with depth and resonance.""","""An uninspired portrayal of drama that feels superficial and flat.""",False
4,"""Falling for Cupid""",119,1,2015,92.1302070350354,67.64381003569468,Fall,PG13,Romantic Comedy,"""A movie that struggles to evoke any genuine emotional response.""","""A testament to the power of storytelling, leaving a positive mark.""","""An uplifting film that leaves a profound impact on viewers.""",False
5,"""Second Chance at First Sight""",135,2,2007,157.52576530539304,132.38704527318353,Summer,PG,Romantic Comedy,"""An attempt at suspense that lacks the necessary build-up for excitement.""","""A compelling journey that engages both the mind and emotions.""","""An underwhelming attempt at storytelling with weak character development.""",False
6,"""Love in Transit""",118,3,2008,29.88385438946145,37.7243597785291,Spring,PG,Romantic Comedy,"""An uninspired storyline that fails to leave a lasting impact.""","""A film that lacks a clear direction and purpose.""","""A feel-good movie that blends humor and heart in perfect harmony.""",False
7,"""The Matchmaker's Mishap""",139,0,2002,59.92704251479198,44.224690512924404,Winter,PG,Romantic Comedy,"""An attempt at humor that misses the mark and feels forced.""","""A lackluster narrative that fails to engage or captivate.""","""An unconvincing portrayal of emotion that feels insincere.""",False
8,"""Unexpectedly Yours""",128,3,2006,44.61016036013575,44.20854468291846,Winter,PG,Romantic Comedy,"""An uninspired plotline that lacks innovation and creativity.""","""A celebration of creativity and storytelling that resonates widely.""","""A movie that struggles to maintain viewer interest throughout.""",False
9,"""Chasing Rainbows for Love""",129,3,2017,94648846.58034885,52.09301457733235,Fall,R,Romantic Comedy,"""An attempt at suspense that fails to create any real excitement.""","""An underwhelming cinematic effort with forgettable moments.""","""An uninspired attempt at storytelling with shallow character arcs.""",False
10,"""Romancing the Barista""",0,3,2006,96.28717305048576,132.64616653952442,Summer,R,Romantic Comedy,"""An immersive experience that captures the imagination.""","""A film that lacks originality and relies on tired tropes.""","""A thought-provoking exploration that engages and entertains.""",True
11,"""The Love Equation""",130,3,2020,80.69121552438106,76.03914323778892,Summer,R,Romantic Comedy,"""An attempt at drama that feels contrived and unemotional.""","""An inspiring tale that evokes joy and contemplation.""","""A movie that feels disjointed and lacks a coherent narrative.""",False
12,"""Accidentally in Love""",136,3,2009,162.34021936510254,178.88911344487582,Summer,R,Romantic Comedy,"""An unconvincing portrayal of suspense that lacks genuine tension.""","""An uninspired plotline that fails to offer any meaningful substance.""","""A film that struggles to find its identity and purpose.""",True
13,"""The Proposal Plan""",141,1,2014,73.21958842203556,57.439051593460285,Winter,PG13,Romantic Comedy,"""An attempt at humor that lacks wit and falls flat.""","""A delightful cinematic gem that appeals to diverse viewers.""","""An underwhelming cinematic effort with unconvincing performances.""",False
14,"""The Perfect Mix-Up""",123,0,2022,80.91480324914761,116.39039741924276,Fall,PG13,Romantic Comedy,"""A movie that fails to create a believable or engaging world.""","""An attempt at drama that lacks depth and authenticity.""","""A captivating narrative that skillfully explores a range of themes.""",False
15,"""Love on the Airwaves""",142,2,2007,72.81620157280435,66.71489521750165,Spring,PG13,Romantic Comedy,"""An uninspired storyline that feels derivative and uninteresting.""","""A film that lacks coherence and struggles with its pacing.""","""A film that celebrates the human spirit, uplifting audiences.""",False
16,"""Honeymoon Hijinks""",131,1,2011,42.86238651161924,60.521376469818804,Summer,R,Romantic Comedy,"""An attempt at suspense that falls short in delivering genuine thrills.""","""A disjointed plotline that struggles to maintain viewer engagement.""","""An exhilarating adventure that combines action and emotion seamlessly.""",False
17,"""The Love Contract""",132,1,2002,44.75167752282872,28.340302274003456,Fall,PG13,Romantic Comedy,"""An uninspired movie that lacks creativity and originality.""","""A heartwarming journey that resonates universally with its charm.""","""A lackluster narrative that fails to evoke any genuine emotional response.""",False
18,"""Fated for Romance""",128,3,2002,226.16078246220172,140.639498581813,Summer,PG,Romantic Comedy,"""An unconvincing portrayal of emotion that feels forced and artificial.""","""An underwhelming attempt at storytelling that fails to captivate.""","""A film that fails to deliver on its potential due to poor execution.""",False
